_id,lon,lat,created_at
ObjectId("5ea2ff2cd5f5c837da1a76ad"),-9.674358,30.4947681,""2020-02-01T08:44:25.807Z""
ObjectId("5ea2ff2cd5f5c837da1a76ae"),-9.6743015,30.4948136,""2020-01-28T17:16:04.754Z""
ObjectId("5ea2ff2cd5f5c837da1a76af"),-9.6742993,30.4950081,""2020-01-28T14:27:58.206Z""
ObjectId("5ea2ff2cd5f5c837da1a76b0"),-9.6742597,30.4948884,""2020-01-25T18:55:49.935Z""
ObjectId("5ea2ff2cd5f5c837da1a76b1"),-9.6742544,30.4948919,""2020-01-27T18:06:36.590Z""
ObjectId("5ea2ff2cd5f5c837da1a76b2"),-9.6742544,30.4948919,""2020-01-29T14:55:06.972Z""
ObjectId("5ea2ff2cd5f5c837da1a76b3"),-9.6742344,30.4949972,""2020-01-29T17:59:49.396Z""
ObjectId("5ea2ff2cd5f5c837da1a76b4"),-9.6741941,30.4950306,""2020-01-28T12:04:24.993Z""
ObjectId("5ea2ff2cd5f5c837da1a76b5"),-9.6741901,30.4949355,""2020-01-26T14:06:13.599Z""
ObjectId("5ea2ff2cd5f5c837da1a76b6"),-9.6741847,30.4945008,""2020-01-26T14:29:37.965Z""
ObjectId("5ea2ff2cd5f5c837da1a76b7"),-9.6741722,30.4949505,""2020-01-27T15:34:31.768Z""
ObjectId("5ea2ff2cd5f5c837da1a76b8"),-9.6741562,30.4949711,""2020-02-01T11:42:47.008Z""
ObjectId("5ea2ff2cd5f5c837da1a76b9"),-9.6740806,30.4950172,""2020-01-26T17:47:30.154Z""
ObjectId("5ea2ff2cd5f5c837da1a76ba"),-9.6740087,30.4950527,""2020-01-29T16:22:04.271Z""
ObjectId("5ea2ff2cd5f5c837da1a76bb"),-9.6739882,30.495171,""2020-01-25T17:13:10.411Z""
ObjectId("5ea2ff2cd5f5c837da1a76bc"),-9.6739722,30.4949899,""2020-02-01T08:58:12.441Z""
ObjectId("5ea2ff2cd5f5c837da1a76bd"),-9.6739321,30.4948213,""2020-02-01T13:13:38.250Z""
ObjectId("5ea2ff2cd5f5c837da1a76be"),-9.6721681,30.4972435,""2020-01-26T14:20:32.279Z""
ObjectId("5ea2ff2cd5f5c837da1a76bf"),-9.6716398,30.5004224,""2020-01-28T12:57:29.674Z""
ObjectId("5ea2ff2cd5f5c837da1a76c0"),-9.6712738,30.5006578,""2020-02-01T11:56:52.700Z""
ObjectId("5ea2ff2cd5f5c837da1a76c1"),-9.6704809,30.497247,""2020-01-26T14:15:41.697Z""
ObjectId("5ea2ff2cd5f5c837da1a76c2"),-9.5344117,30.3628933,""2020-01-25T16:39:16.400Z""
ObjectId("5ea2ff2cd5f5c837da1a76c3"),-9.4759426,30.3396694,""2020-01-25T16:26:10.455Z""
ObjectId("5ea2ff2cd5f5c837da1a76c4"),-9.4113445,30.3302076,""2020-02-01T15:03:02.979Z""
ObjectId("5ea2ff2cd5f5c837da1a76c5"),-9.4102083,30.3299358,""2020-02-01T15:45:32.567Z""
ObjectId("5ea2ff2cd5f5c837da1a76c6"),-9.4100683,30.3307546,""2020-01-25T16:19:03.709Z""
ObjectId("5ea2ff2cd5f5c837da1a76c7"),-9.4096799,30.3298714,""2020-01-25T16:04:37.132Z""
ObjectId("5ea2ff2cd5f5c837da1a76c8"),-9.4096799,30.3298714,""2020-01-25T16:04:37.132Z""
ObjectId("5ea2ff2cd5f5c837da1a76c9"),-0.679981,51.3556683,""2020-02-29T14:02:52.017Z""
ObjectId("5ea2ff2cd5f5c837da1a76ca"),-0.4728621,51.3091525,""2020-03-01T15:47:28.624Z""
ObjectId("5ea2ff2cd5f5c837da1a76cb"),-0.4528242,51.4713091,""2020-02-28T16:33:56.756Z""
ObjectId("5ea2ff2cd5f5c837da1a76cc"),-0.4519184,51.3217033,""2020-03-01T15:52:39.205Z""
ObjectId("5ea2ff2cd5f5c837da1a76cd"),-0.448784,51.4699614,""2020-02-28T16:22:48.437Z""
ObjectId("5ea2ff2cd5f5c837da1a76ce"),-0.44819,51.4698077,""2020-02-28T16:20:41.571Z""
ObjectId("5ea2ff2cd5f5c837da1a76cf"),-0.4355159,51.2793539,""2020-03-01T12:10:43.524Z""
ObjectId("5ea2ff2cd5f5c837da1a76d0"),-0.4316611,51.2626399,""2020-02-29T14:30:06.046Z""
ObjectId("5ea2ff2cd5f5c837da1a76d1"),-0.43152,51.2577388,""2020-03-01T12:20:23.358Z""
ObjectId("5ea2ff2cd5f5c837da1a76d2"),-0.4312659,51.2628928,""2020-03-01T13:10:31.754Z""
ObjectId("5ea2ff2cd5f5c837da1a76d3"),-0.4302882,51.2615915,""2020-02-29T23:40:07.236Z""
ObjectId("5ea2ff2cd5f5c837da1a76d4"),-0.4298005,51.2616755,""2020-03-01T09:21:51.550Z""
ObjectId("5ea2ff2cd5f5c837da1a76d5"),-0.3778568,51.2807091,""2020-02-29T21:35:54.834Z""
ObjectId("5ea2ff2cd5f5c837da1a76d6"),-0.3776581,51.2805998,""2020-02-29T15:05:19.058Z""
ObjectId("5ea2ff2cd5f5c837da1a76d7"),-0.3776581,51.2805998,""2020-02-29T19:56:24.836Z""
ObjectId("5ea2ff2cd5f5c837da1a76d8"),-0.3776581,51.2805998,""2020-02-29T22:55:55.718Z""
ObjectId("5ea2ff2cd5f5c837da1a76d9"),-0.3774244,51.2808651,""2020-02-29T21:07:20.790Z""
ObjectId("5ea2ff2cd5f5c837da1a76da"),-0.3773826,51.280604,""2020-02-29T23:03:04.202Z""
ObjectId("5ea2ff2cd5f5c837da1a76db"),-0.3666235,51.7192164,""2020-02-29T13:21:43.042Z""
ObjectId("5ea2ff2cd5f5c837da1a76dc"),-0.2919173,51.7307462,""2020-02-29T13:14:41.431Z""
ObjectId("5ea2ff2cd5f5c837da1a76dd"),-0.2801219,51.5027658,""2020-02-28T17:01:22.105Z""
ObjectId("5ea2ff2cd5f5c837da1a76de"),-0.2042418,51.8942085,""2020-02-28T17:57:22.245Z""
ObjectId("5ea2ff2cd5f5c837da1a76df"),-0.0289774,52.0587872,""2020-02-28T18:17:20.183Z""
ObjectId("5ea2ff2cd5f5c837da1a76e0"),0.0081512,52.0894961,""2020-02-28T18:21:55.345Z""
ObjectId("5ea2ff2cd5f5c837da1a76e1"),0.1337732,52.1923128,""2020-02-28T19:08:05.586Z""
